id,trial,view.angle,view.dist,fishtank,start.angle,hinge.length,hinge.z.pos,hinge.angle,response
DREWFULL,15,-30.000000,2.000000,0,91,10.000000,-5.000000,63.000000,obtuse,
DREWFULL,15,-30.000000,2.000000,0,91,10.000000,-5.000000,61.000000,obtuse,
DREWFULL,15,-30.000000,2.000000,0,91,10.000000,-5.000000,59.000000,obtuse,
DREWFULL,15,-30.000000,2.000000,0,91,10.000000,-5.000000,57.000000,acute,
DREWFULL,15,-30.000000,2.000000,0,91,10.000000,-5.000000,59.000000,acute,
DREWFULL,15,-30.000000,2.000000,0,91,10.000000,-5.000000,61.000000,acute,
DREWFULL,15,-30.000000,2.000000,0,91,10.000000,-5.000000,63.000000,acute,
DREWFULL,15,-30.000000,2.000000,0,91,10.000000,-5.000000,65.000000,obtuse,
DREWFULL,15,-30.000000,2.000000,0,91,10.000000,-5.000000,63.000000,obtuse,
DREWFULL,15,-30.000000,2.000000,0,91,10.000000,-5.000000,61.000000,acute,
DREWFULL,15,-30.000000,2.000000,0,91,10.000000,-5.000000,63.000000,acute,
DREWFULL,15,-30.000000,2.000000,0,91,10.000000,-5.000000,65.000000,acute,
DREWFULL,15,-30.000000,2.000000,0,91,10.000000,-5.000000,67.000000,obtuse,
DREWFULL,15,-30.000000,2.000000,0,91,10.000000,-5.000000,65.000000,obtuse,
DREWFULL,15,-30.000000,2.000000,0,91,10.000000,-5.000000,63.000000,acute,
DREWFULL,15,-30.000000,2.000000,0,91,10.000000,-5.000000,65.000000,acute,
DREWFULL,15,-30.000000,2.000000,0,91,10.000000,-5.000000,67.000000,obtuse,
DREWFULL,15,-30.000000,2.000000,0,91,10.000000,-5.000000,65.000000,obtuse,
DREWFULL,15,-30.000000,2.000000,0,91,10.000000,-5.000000,63.000000,obtuse,
DREWFULL,15,-30.000000,2.000000,0,91,10.000000,-5.000000,61.000000,acute,
DREWFULL,16,-15.000000,2.000000,1,89,10.000000,-5.000000,107.000000,obtuse,
DREWFULL,16,-15.000000,2.000000,1,89,10.000000,-5.000000,105.000000,obtuse,
DREWFULL,16,-15.000000,2.000000,1,89,10.000000,-5.000000,103.000000,acute,
DREWFULL,16,-15.000000,2.000000,1,89,10.000000,-5.000000,105.000000,acute,
DREWFULL,16,-15.000000,2.000000,1,89,10.000000,-5.000000,107.000000,acute,
DREWFULL,16,-15.000000,2.000000,1,89,10.000000,-5.000000,109.000000,obtuse,
DREWFULL,16,-15.000000,2.000000,1,89,10.000000,-5.000000,107.000000,obtuse,
DREWFULL,16,-15.000000,2.000000,1,89,10.000000,-5.000000,105.000000,obtuse,
DREWFULL,16,-15.000000,2.000000,1,89,10.000000,-5.000000,103.000000,acute,
DREWFULL,16,-15.000000,2.000000,1,89,10.000000,-5.000000,105.000000,acute,
DREWFULL,16,-15.000000,2.000000,1,89,10.000000,-5.000000,107.000000,obtuse,
DREWFULL,16,-15.000000,2.000000,1,89,10.000000,-5.000000,105.000000,obtuse,
DREWFULL,16,-15.000000,2.000000,1,89,10.000000,-5.000000,103.000000,obtuse,
DREWFULL,16,-15.000000,2.000000,1,89,10.000000,-5.000000,101.000000,acute,
DREWFULL,16,-15.000000,2.000000,1,89,10.000000,-5.000000,103.000000,acute,
DREWFULL,16,-15.000000,2.000000,1,89,10.000000,-5.000000,105.000000,acute,
DREWFULL,16,-15.000000,2.000000,1,89,10.000000,-5.000000,107.000000,acute,
DREWFULL,16,-15.000000,2.000000,1,89,10.000000,-5.000000,109.000000,acute,
DREWFULL,16,-15.000000,2.000000,1,89,10.000000,-5.000000,111.000000,obtuse,
DREWFULL,16,-15.000000,2.000000,1,89,10.000000,-5.000000,109.000000,obtuse,
DREWFULL,16,-15.000000,2.000000,1,89,10.000000,-5.000000,107.000000,obtuse,
DREWFULL,16,-15.000000,2.000000,1,89,10.000000,-5.000000,105.000000,acute,
DREWFULL,16,-15.000000,2.000000,1,89,10.000000,-5.000000,107.000000,acute,
DREWFULL,16,-15.000000,2.000000,1,89,10.000000,-5.000000,109.000000,acute,
DREWFULL,16,-15.000000,2.000000,1,89,10.000000,-5.000000,111.000000,acute,
DREWFULL,16,-15.000000,2.000000,1,89,10.000000,-5.000000,113.000000,acute,
DREWFULL,16,-15.000000,2.000000,1,89,10.000000,-5.000000,115.000000,obtuse,
DREWFULL,16,-15.000000,2.000000,1,89,10.000000,-5.000000,113.000000,obtuse,
DREWFULL,16,-15.000000,2.000000,1,89,10.000000,-5.000000,111.000000,obtuse,
DREWFULL,16,-15.000000,2.000000,1,89,10.000000,-5.000000,109.000000,acute,
DREWFULL,16,-15.000000,2.000000,1,89,10.000000,-5.000000,111.000000,acute,
DREWFULL,16,-15.000000,2.000000,1,89,10.000000,-5.000000,113.000000,acute,
DREWFULL,16,-15.000000,2.000000,1,89,10.000000,-5.000000,115.000000,obtuse,
DREWFULL,17,-0.000000,2.000000,0,91,10.000000,-5.000000,81.000000,acute,
DREWFULL,17,-0.000000,2.000000,0,91,10.000000,-5.000000,83.000000,obtuse,
DREWFULL,17,-0.000000,2.000000,0,91,10.000000,-5.000000,81.000000,obtuse,
DREWFULL,17,-0.000000,2.000000,0,91,10.000000,-5.000000,79.000000,obtuse,
DREWFULL,17,-0.000000,2.000000,0,91,10.000000,-5.000000,77.000000,acute,
DREWFULL,17,-0.000000,2.000000,0,91,10.000000,-5.000000,79.000000,acute,
DREWFULL,17,-0.000000,2.000000,0,91,10.000000,-5.000000,81.000000,acute,
DREWFULL,17,-0.000000,2.000000,0,91,10.000000,-5.000000,83.000000,acute,
DREWFULL,17,-0.000000,2.000000,0,91,10.000000,-5.000000,85.000000,obtuse,
DREWFULL,17,-0.000000,2.000000,0,91,10.000000,-5.000000,83.000000,obtuse,
DREWFULL,17,-0.000000,2.000000,0,91,10.000000,-5.000000,81.000000,obtuse,
DREWFULL,17,-0.000000,2.000000,0,91,10.000000,-5.000000,79.000000,obtuse,
DREWFULL,17,-0.000000,2.000000,0,91,10.000000,-5.000000,77.000000,obtuse,
DREWFULL,17,-0.000000,2.000000,0,91,10.000000,-5.000000,75.000000,acute,
DREWFULL,17,-0.000000,2.000000,0,91,10.000000,-5.000000,77.000000,acute,
DREWFULL,17,-0.000000,2.000000,0,91,10.000000,-5.000000,79.000000,acute,
DREWFULL,17,-0.000000,2.000000,0,91,10.000000,-5.000000,81.000000,acute,
DREWFULL,17,-0.000000,2.000000,0,91,10.000000,-5.000000,83.000000,obtuse,
DREWFULL,17,-0.000000,2.000000,0,91,10.000000,-5.000000,81.000000,obtuse,
DREWFULL,17,-0.000000,2.000000,0,91,10.000000,-5.000000,79.000000,obtuse,
DREWFULL,17,-0.000000,2.000000,0,91,10.000000,-5.000000,77.000000,obtuse,
DREWFULL,17,-0.000000,2.000000,0,91,10.000000,-5.000000,75.000000,obtuse,
DREWFULL,17,-0.000000,2.000000,0,91,10.000000,-5.000000,73.000000,obtuse,
DREWFULL,17,-0.000000,2.000000,0,91,10.000000,-5.000000,71.000000,acute,
DREWFULL,17,-0.000000,2.000000,0,91,10.000000,-5.000000,73.000000,acute,
DREWFULL,17,-0.000000,2.000000,0,91,10.000000,-5.000000,75.000000,acute,
DREWFULL,17,-0.000000,2.000000,0,91,10.000000,-5.000000,77.000000,acute,
DREWFULL,17,-0.000000,2.000000,0,91,10.000000,-5.000000,79.000000,obtuse,
DREWFULL,17,-0.000000,2.000000,0,91,10.000000,-5.000000,77.000000,obtuse,
DREWFULL,17,-0.000000,2.000000,0,91,10.000000,-5.000000,75.000000,obtuse,
DREWFULL,17,-0.000000,2.000000,0,91,10.000000,-5.000000,73.000000,obtuse,
DREWFULL,17,-0.000000,2.000000,0,91,10.000000,-5.000000,71.000000,obtuse,
DREWFULL,17,-0.000000,2.000000,0,91,10.000000,-5.000000,69.000000,acute,
DREWFULL,17,-0.000000,2.000000,0,91,10.000000,-5.000000,71.000000,acute,
DREWFULL,17,-0.000000,2.000000,0,91,10.000000,-5.000000,73.000000,acute,
DREWFULL,17,-0.000000,2.000000,0,91,10.000000,-5.000000,75.000000,acute,
DREWFULL,17,-0.000000,2.000000,0,91,10.000000,-5.000000,77.000000,obtuse,
DREWFULL,17,-0.000000,2.000000,0,91,10.000000,-5.000000,75.000000,obtuse,
DREWFULL,17,-0.000000,2.000000,0,91,10.000000,-5.000000,73.000000,obtuse,
DREWFULL,17,-0.000000,2.000000,0,91,10.000000,-5.000000,71.000000,acute,
